CURSO,TURNO,CAMPUS,ANO,SEM,QUANTIDADE,CATEGORIA_TURNO,ANO_STR,DATA,SIGLA_CURSO
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2000,1,15,OUTRO,Ano-2000,2000-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2000,2,15,OUTRO,Ano-2000,2000-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2001,1,12,OUTRO,Ano-2001,2001-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2001,2,14,OUTRO,Ano-2001,2001-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2002,1,21,OUTRO,Ano-2002,2002-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2002,2,24,OUTRO,Ano-2002,2002-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2003,1,25,OUTRO,Ano-2003,2003-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2003,2,29,OUTRO,Ano-2003,2003-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2004,1,42,OUTRO,Ano-2004,2004-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2004,2,43,OUTRO,Ano-2004,2004-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2005,1,44,OUTRO,Ano-2005,2005-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2005,2,28,OUTRO,Ano-2005,2005-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2006,1,35,OUTRO,Ano-2006,2006-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2006,2,30,OUTRO,Ano-2006,2006-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2007,1,24,OUTRO,Ano-2007,2007-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2007,2,16,OUTRO,Ano-2007,2007-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,1,13,OUTRO,Ano-2008,2008-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,2,9,OUTRO,Ano-2008,2008-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,1,1,OUTRO,Ano-2009,2009-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,2,3,OUTRO,Ano-2009,2009-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,1,6,OUTRO,Ano-2010,2010-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,2,4,OUTRO,Ano-2010,2010-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,1,21,OUTRO,Ano-2011,2011-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,2,22,OUTRO,Ano-2011,2011-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,2,3,OUTRO,Ano-2012,2012-07-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,1,3,OUTRO,Ano-2013,2013-01-01,01A
01A-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,2,1,OUTRO,Ano-2015,2015-07-01,01A
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2004,2,1,OUTRO,Ano-2004,2004-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2005,2,2,OUTRO,Ano-2005,2005-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2006,1,3,OUTRO,Ano-2006,2006-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2006,2,2,OUTRO,Ano-2006,2006-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2007,1,2,OUTRO,Ano-2007,2007-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2007,2,13,OUTRO,Ano-2007,2007-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,1,13,OUTRO,Ano-2008,2008-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,2,11,OUTRO,Ano-2008,2008-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,1,15,OUTRO,Ano-2009,2009-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,2,13,OUTRO,Ano-2009,2009-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,1,20,OUTRO,Ano-2010,2010-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,2,17,OUTRO,Ano-2010,2010-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,1,2,OUTRO,Ano-2011,2011-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,2,5,OUTRO,Ano-2011,2011-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,1,11,OUTRO,Ano-2012,2012-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,2,5,OUTRO,Ano-2012,2012-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,1,8,OUTRO,Ano-2013,2013-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,2,4,OUTRO,Ano-2013,2013-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,1,9,OUTRO,Ano-2014,2014-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,2,29,OUTRO,Ano-2014,2014-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,1,25,OUTRO,Ano-2015,2015-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,2,18,OUTRO,Ano-2015,2015-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,1,27,OUTRO,Ano-2016,2016-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,2,27,OUTRO,Ano-2016,2016-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2017,1,20,OUTRO,Ano-2017,2017-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2017,2,26,OUTRO,Ano-2017,2017-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,1,28,OUTRO,Ano-2018,2018-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,2,35,OUTRO,Ano-2018,2018-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,1,23,OUTRO,Ano-2019,2019-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,2,19,OUTRO,Ano-2019,2019-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,1,25,OUTRO,Ano-2020,2020-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,2,11,OUTRO,Ano-2020,2020-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,1,17,OUTRO,Ano-2021,2021-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,2,6,OUTRO,Ano-2021,2021-07-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,1,10,OUTRO,Ano-2022,2022-01-01,01B
01B-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,2,2,OUTRO,Ano-2022,2022-07-01,01B
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2012,2,48,OUTRO,Ano-2012,2012-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2013,1,48,OUTRO,Ano-2013,2013-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2013,2,5,OUTRO,Ano-2013,2013-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2014,1,189,OUTRO,Ano-2014,2014-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2014,2,20,OUTRO,Ano-2014,2014-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2015,1,24,OUTRO,Ano-2015,2015-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2015,2,39,OUTRO,Ano-2015,2015-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2016,1,50,OUTRO,Ano-2016,2016-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2016,2,37,OUTRO,Ano-2016,2016-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2017,1,40,OUTRO,Ano-2017,2017-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2017,2,35,OUTRO,Ano-2017,2017-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2018,1,24,OUTRO,Ano-2018,2018-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2018,2,26,OUTRO,Ano-2018,2018-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2019,1,53,OUTRO,Ano-2019,2019-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2019,2,37,OUTRO,Ano-2019,2019-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2020,1,51,OUTRO,Ano-2020,2020-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2020,2,18,OUTRO,Ano-2020,2020-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2021,1,33,OUTRO,Ano-2021,2021-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2021,2,24,OUTRO,Ano-2021,2021-07-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2022,1,26,OUTRO,Ano-2022,2022-01-01,01GV
01GV-ADMINISTRAÇÃO,INTEGRAL,GOVERNADOR VALADARES,2022,2,8,OUTRO,Ano-2022,2022-07-01,01GV
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2002,1,1,OUTRO,Ano-2002,2002-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2005,1,1,OUTRO,Ano-2005,2005-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2006,2,1,OUTRO,Ano-2006,2006-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2007,2,2,OUTRO,Ano-2007,2007-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,1,3,OUTRO,Ano-2008,2008-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2008,2,8,OUTRO,Ano-2008,2008-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,1,9,OUTRO,Ano-2009,2009-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2009,2,14,OUTRO,Ano-2009,2009-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,1,5,OUTRO,Ano-2010,2010-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2010,2,9,OUTRO,Ano-2010,2010-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,1,2,OUTRO,Ano-2011,2011-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2011,2,2,OUTRO,Ano-2011,2011-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,1,15,OUTRO,Ano-2012,2012-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2012,2,16,OUTRO,Ano-2012,2012-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,1,14,OUTRO,Ano-2013,2013-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2013,2,16,OUTRO,Ano-2013,2013-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,1,15,OUTRO,Ano-2014,2014-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2014,2,12,OUTRO,Ano-2014,2014-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,1,15,OUTRO,Ano-2015,2015-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2015,2,10,OUTRO,Ano-2015,2015-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,1,13,OUTRO,Ano-2016,2016-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2016,2,11,OUTRO,Ano-2016,2016-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2017,1,17,OUTRO,Ano-2017,2017-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2017,2,11,OUTRO,Ano-2017,2017-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,1,13,OUTRO,Ano-2018,2018-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2018,2,8,OUTRO,Ano-2018,2018-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,1,20,OUTRO,Ano-2019,2019-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2019,2,13,OUTRO,Ano-2019,2019-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,1,13,OUTRO,Ano-2020,2020-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2020,2,11,OUTRO,Ano-2020,2020-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,1,9,OUTRO,Ano-2021,2021-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2021,2,2,OUTRO,Ano-2021,2021-07-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,1,3,OUTRO,Ano-2022,2022-01-01,01L
01L-CIÊNCIAS BIOLÓGICAS,INTEGRAL,JUIZ DE FORA,2022,2,8,OUTRO,Ano-2022,2022-07-01,01L
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1984,1,1,DIURNO,Ano-1984,1984-01-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1986,2,1,DIURNO,Ano-1986,1986-07-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1987,1,1,DIURNO,Ano-1987,1987-01-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1988,1,223,DIURNO,Ano-1988,1988-01-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1988,2,1,DIURNO,Ano-1988,1988-07-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1989,1,4,DIURNO,Ano-1989,1989-01-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1990,1,4,DIURNO,Ano-1990,1990-01-01,02A
02A-CIÊNCIAS SOCIAIS,DIURNO,JUIZ DE FORA,1990,2,1,DIURNO,Ano-1990,1990-07-01,02A
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2012,2,23,OUTRO,Ano-2012,2012-07-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2013,1,24,OUTRO,Ano-2013,2013-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2014,1,176,OUTRO,Ano-2014,2014-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2014,2,1,OUTRO,Ano-2014,2014-07-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2015,1,30,OUTRO,Ano-2015,2015-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2016,1,46,OUTRO,Ano-2016,2016-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2016,2,4,OUTRO,Ano-2016,2016-07-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2017,1,44,OUTRO,Ano-2017,2017-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2018,1,27,OUTRO,Ano-2018,2018-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2018,2,1,OUTRO,Ano-2018,2018-07-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2019,1,49,OUTRO,Ano-2019,2019-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2020,1,35,OUTRO,Ano-2020,2020-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2021,1,34,OUTRO,Ano-2021,2021-01-01,02GV
02GV-CIÊNCIAS CONTÁBEIS,INTEGRAL,GOVERNADOR VALADARES,2022,1,17,OUTRO,Ano-2022,2022-01-01,02GV
03A-ARTES,INTEGRAL,JUIZ DE FORA,1980,1,1,OUTRO,Ano-1980,1980-01-01,03A
